,Restaurant Name,Overall Rating,Review Count,Review,Review Rating
0,Juicy Bun Burger 就是棒 美式餐廳 政大店,4.4,2226,"路過多次，並沒有留意到這家餐廳，畢竟美式餐廳通常不在一家人選項內，有的話通常就是漢堡王或是Friday s。
這天剛好有任務在附近，為了解決晚餐，孩子挑中了這裡，週六晚上六點半高朋滿座，原本只剩門外一張桌子，幸好很快就等到室內用餐區，而且聽說後面19：30還有20多人的團體預約。
分別點了兩組漢堡套餐、沙拉套餐及肋排套餐，大家吃得津津有味，解決不完的份量最後打包帶回，唯一要留意的是飲料（檸檬紅茶）很甜，但好像是機器設定的關係，所以怕太甜得加水喝。",5
1,Juicy Bun Burger 就是棒 美式餐廳 政大店,4.4,2226,"餐點皆為套餐，隨餐附生菜沙拉及脆薯，還有無限續杯的飲料

漢堡有兩片切達起士，三明治竟然是三片吐司，份量很夠，肯定能飽餐一頓，推推",5
2,Juicy Bun Burger 就是棒 美式餐廳 政大店,4.4,2226,"最喜歡薯條🍟比連鎖速食店好吃很多😋已經回訪至少30次以上，飲料可以無限續杯。唯一缺點只有覺得牛漢堡肉很普通🥲內用座位蠻擠的，很容易碰到隔壁桌的客人。
停車可以到萬興國小地下停車場走過去大約3分鐘🅿️",5
3,Juicy Bun Burger 就是棒 美式餐廳 政大店,4.4,2226,"這家來了至少20次以上了啦！
有CP值也是漢堡好吃的店。
只能說我超愛的，所以即使要坐很久的車到政大，我還是一兩個月都會來一次。",4
4,Juicy Bun Burger 就是棒 美式餐廳 政大店,4.4,2226,"美味可口,門口騎樓用餐區,常有人在抽菸,煙味都飄進室內用餐區.這真的不OK.",4
5,Juicy Bun Burger 就是棒 美式餐廳 政大店,4.4,2226,"氛圍感十足的美式漢堡餐廳
漢堡份量大絕對吃得飽，且還有暢飲的飲料
如果想吃精緻可以考慮早午餐及歐姆系列
尤其是雞腿歐姆兼顧美味與CP值
木盆沙拉也絕對是大多數人可以吃飽的份量",4
6,Juicy Bun Burger 就是棒 美式餐廳 政大店,4.4,2226,好吃的美式漢堡！價格平民但用料實在、肉量很夠，薯條也炸的酥脆💯💯重點是不用服務費～ 優質店家，推推✨✨照片是花生醬雞腿堡和馬林魚牛肉漢堡🍔,5
7,Juicy Bun Burger 就是棒 美式餐廳 政大店,4.4,2226,"熔岩花生醬牛肉堡：花生醬濃稠、肉排多汁、酸黃瓜解膩
香炒洋蔥蘑菇牛肉堡：炒鍋的蘑菇、洋蔥配肉排好吃
薯條是脆薯好吃",4
8,Juicy Bun Burger 就是棒 美式餐廳 政大店,4.4,2226,上菜速度快，有點套餐的話飲料可以先續杯，餐點份量很大，而且口味很不錯！會想經常來吃的店！推薦👍,5
9,Juicy Bun Burger 就是棒 美式餐廳 政大店,4.4,2226,餐點，服務，氣氛都不錯。餐點份量足。,5
